country,time,treated,fdi_net_gdp,log_gdp,import_goods_ser_gdp,export_goods_ser_gdp,cpi,gross_capital_forma_gdp,umempoyment_total
"Korea, Rep.",1997,0,-0.19485567572653895,27.26390139475969,29.1775230266763,28.3455147196928,148.06901435597354,37.1886218828056,2.608
"Korea, Rep.",1998,0,0.4614539791830201,27.211244558906493,28.960790952901,39.5366811034608,159.1942983244507,27.7790487352091,6.963
"Korea, Rep.",1999,0,1.358574723092111,27.319802439381903,27.1719308212149,32.590822939439,160.48847992134438,31.0128277310285,6.342
"Korea, Rep.",2000,0,1.157156979396731,27.40653808384076,32.1559911508662,33.9391689573172,164.11418077395362,32.8936286973186,4.063
"Korea, Rep.",2001,0,0.689994826814975,27.453921540694687,30.4360561697363,31.7877410482541,170.78800846328934,31.6029375635501,3.699
"Korea, Rep.",2002,0,0.324895968463748,27.528334362649225,28.5802849932838,29.7727544096379,175.50562089748118,31.0928327590252,3.046
"Korea, Rep.",2003,0,0.28335817654666795,27.559322154987562,29.7767640156921,31.3978372633201,181.67442323809613,32.2796152215581,3.348
"Korea, Rep.",2004,0,0.7689092167048729,27.60999047206829,33.2613784169595,36.7543364487134,188.19773951346917,32.5495531236433,3.42
"Korea, Rep.",2005,0,0.5683168158556551,27.652173549949673,33.0417282278992,35.2830827957409,193.38031310705395,32.5081847804131,3.482
"Korea, Rep.",2006,0,-0.32293442766344715,27.70347794692493,35.0254549142976,35.6264186161218,197.71655777147822,32.9933079853202,3.254
"Korea, Rep.",2007,0,-1.1089837781475338,27.759854012063016,36.4823455972789,37.3921796905127,202.72782988528658,33.0974830502206,3.013
"Korea, Rep.",2008,0,-0.79716308840672,27.78953887308514,47.8744672251696,47.6418852095772,212.20311894299857,33.6668294033225,2.959
"Korea, Rep.",2009,0,-0.88761821157497,27.79743460945155,40.9482674584271,45.1853519113199,218.05249058491572,29.3999897291047,3.363
"Korea, Rep.",2010,0,-1.6371998310614608,27.8632675261024,44.2958595844342,47.1037369107414,224.46167806149978,32.5521135765371,3.324
"Korea, Rep.",2011,0,-1.5858027538977248,27.89946123733259,52.2285816810148,53.3377319003336,233.49842666845723,33.3194258170924,2.992
"Korea, Rep.",2012,0,-1.6511761818398227,27.92320248036772,51.3642764025061,54.0940513351953,238.60520314709538,31.3166467538553,2.812
"Korea, Rep.",2013,0,-1.1345998897535403,27.954359118364994,46.6600338441855,51.2920711097027,241.71028610162386,29.8853272856136,2.747
"Korea, Rep.",2014,0,-1.261370476673632,27.985881562220897,42.7830210318588,47.8314208662979,244.7915471057418,29.7904786327772,3.082
"Korea, Rep.",2015,0,-1.335776255075025,28.01358527852628,36.142932861381,42.989561527711,246.52058757923473,29.5292808218765,3.546
"Korea, Rep.",2016,0,-1.18593313829045,28.04262823623889,33.4711585544775,40.1326509111205,248.9159929746912,30.1426786021619,3.65
"Korea, Rep.",2017,0,-0.99542585078528,28.073735700239176,36.1867108656532,40.9342069409884,253.75574704553597,32.2880634736146,3.653
"Korea, Rep.",2018,0,-1.5091109286138837,28.102395105656964,37.2755746703469,41.7132908430894,257.5007742133893,31.487184177201,3.824
"Korea, Rep.",2019,0,-1.5504629066794102,28.124586816623694,36.4812778978581,39.2758610673609,258.48700296041903,31.4949336660816,3.746
"Korea, Rep.",2020,0,-1.585312690759782,28.1174673798761,32.6744545418102,36.359590549146,259.87582266940217,31.8845852650415,3.931
"Korea, Rep.",2021,0,-2.4163783642926395,28.15961395102035,38.3222274220465,41.8772295047804,266.368386972426,32.3271937750171,3.639
"Korea, Rep.",2022,0,-2.43466742293994,28.185405200784146,48.2646450676456,48.2717642210409,279.9252423883456,33.1813562926262,2.857
New Zealand,1990,0,-1.4909728099881803,25.199206524911816,25.8462831846782,26.7618584733406,100.0,20.4710549476533,10.614
New Zealand,1991,0,0.5209214980799599,25.188239358211195,25.4742190688062,29.1613463740835,102.60239285999772,17.5444600945147,10.614
New Zealand,1992,0,1.673904849910764,25.199117633832888,28.0423820769771,31.1916767728346,103.64335597578145,18.6659858300887,10.667
New Zealand,1993,0,7.69766163030399,25.261078022857898,26.9512267218445,30.6024238841265,104.97849773613915,21.2249482707656,9.804
New Zealand,1994,0,1.0987314463225202,25.31099998401633,28.0364238410596,30.7781456953642,106.81076924350027,22.5816777041943,8.354
New Zealand,1995,0,1.6683018780015706,25.357144514619442,27.5208861548693,29.3933663078266,110.82145396065401,23.6533106114136,6.461
New Zealand,1996,0,7.35268219007428,25.39261660026051,26.7672921138268,28.3488788439284,113.3545144004896,23.1451716600231,6.29
New Zealand,1997,0,5.27151249312789,25.413194924571524,26.9264895291704,28.3203739922721,114.70020062637198,22.9289700901589,6.857
New Zealand,1998,0,2.53316605259216,25.421748980208633,28.2786961975549,29.6173216258214,116.151438146515,20.8114129519031,7.718
New Zealand,1999,0,-0.22514864232732013,25.47411333205639,30.4506795962165,30.9505515371504,116.01871523194964,23.2325640957705,7.023
